文件路径,页码,图片,角度,标签,面积,bid,异常
135/食字第07册.pdf,0,Im0,0.00,正,3291175.85,135_7_0_0,异常
135/食字第07册.pdf,1,Im0,0.00,正,265538.34,135_7_1_4,
135/食字第07册.pdf,1,Im1,0.00,正,264803.26,135_7_1_3,
135/食字第07册.pdf,1,Im2,-0.25,正,266997.39,135_7_1_2,
135/食字第07册.pdf,1,Im3,-0.25,正,267835.39,135_7_1_1,
135/食字第07册.pdf,1,Im4,0.25,正,271793.71,135_7_1_0,
135/食字第07册.pdf,1,Im5,-179.75,反转,269118.18,135_7_1_5,
135/食字第07册.pdf,1,Im6,180.00,反转,265947.93,135_7_1_6,
135/食字第07册.pdf,1,Im7,180.00,反转,266389.71,135_7_1_7,
135/食字第07册.pdf,1,Im8,180.00,反转,262895.87,135_7_1_8,
135/食字第07册.pdf,1,Im9,180.00,反转,267742.50,135_7_1_9,
135/食字第07册.pdf,2,Im0,0.00,正,265826.00,135_7_2_4,
135/食字第07册.pdf,2,Im1,0.00,正,265088.39,135_7_2_3,
135/食字第07册.pdf,2,Im2,0.25,正,272310.25,135_7_2_2,
135/食字第07册.pdf,2,Im3,0.25,正,271987.24,135_7_2_1,
135/食字第07册.pdf,2,Im4,0.00,正,264362.14,135_7_2_0,
135/食字第07册.pdf,2,Im5,180.00,反转,263627.01,135_7_2_5,
135/食字第07册.pdf,2,Im6,180.00,反转,267301.21,135_7_2_6,
135/食字第07册.pdf,2,Im7,180.00,反转,265088.39,135_7_2_7,
135/食字第07册.pdf,2,Im8,180.00,反转,264308.01,135_7_2_8,
135/食字第07册.pdf,2,Im9,180.00,反转,261374.54,135_7_2_9,
135/食字第07册.pdf,3,Im0,0.00,正,265774.24,135_7_3_4,
135/食字第07册.pdf,3,Im1,0.00,正,259327.64,135_7_3_3,
135/食字第07册.pdf,3,Im2,0.00,正,264368.09,135_7_3_2,
135/食字第07册.pdf,3,Im3,0.00,正,263636.15,135_7_3_1,
135/食字第07册.pdf,3,Im4,0.00,正,263782.56,135_7_3_0,
135/食字第07册.pdf,3,Im5,180.00,反转,263636.20,135_7_3_5,
135/食字第07册.pdf,3,Im6,180.00,反转,264134.02,135_7_3_6,
135/食字第07册.pdf,3,Im7,180.00,反转,263402.80,135_7_3_7,
135/食字第07册.pdf,3,Im8,180.00,反转,265417.84,135_7_3_8,
135/食字第07册.pdf,3,Im9,180.00,反转,262935.98,135_7_3_9,
135/食字第07册.pdf,4,Im0,0.00,正,267948.88,135_7_4_4,
135/食字第07册.pdf,4,Im1,0.00,正,264846.91,135_7_4_3,
135/食字第07册.pdf,4,Im2,0.00,正,268117.09,135_7_4_2,
135/食字第07册.pdf,4,Im3,0.00,正,267078.99,135_7_4_1,
135/食字第07册.pdf,4,Im4,0.00,正,263886.33,135_7_4_0,
135/食字第07册.pdf,4,Im5,180.00,反转,265211.67,135_7_4_5,
135/食字第07册.pdf,4,Im6,180.00,反转,267299.43,135_7_4_6,
135/食字第07册.pdf,4,Im7,180.00,反转,266561.02,135_7_4_7,
135/食字第07册.pdf,4,Im8,179.75,反转,267067.60,135_7_4_8,
135/食字第07册.pdf,4,Im9,179.50,反转,272424.31,135_7_4_9,
135/食字第07册.pdf,5,Im0,0.00,正,264345.79,135_7_5_4,
135/食字第07册.pdf,5,Im1,0.00,正,267742.42,135_7_5_3,
135/食字第07册.pdf,5,Im2,0.00,正,266945.39,135_7_5_2,
135/食字第07册.pdf,5,Im3,0.00,正,265911.93,135_7_5_1,
135/食字第07册.pdf,5,Im4,0.00,正,267243.60,135_7_5_0,
135/食字第07册.pdf,5,Im5,180.00,反转,266506.99,135_7_5_5,
135/食字第07册.pdf,5,Im6,-179.75,反转,271714.20,135_7_5_6,
135/食字第07册.pdf,5,Im7,-179.75,反转,267703.92,135_7_5_7,
135/食字第07册.pdf,5,Im8,180.00,反转,266176.29,135_7_5_8,
135/食字第07册.pdf,5,Im9,180.00,反转,266028.63,135_7_5_9,
135/食字第07册.pdf,6,Im0,0.00,正,266945.49,135_7_6_4,
135/食字第07册.pdf,6,Im1,0.00,正,265911.95,135_7_6_3,
135/食字第07册.pdf,6,Im2,0.00,正,267944.56,135_7_6_2,
135/食字第07册.pdf,6,Im3,0.00,正,267796.46,135_7_6_1,
135/食字第07册.pdf,6,Im4,-0.25,正,269610.63,135_7_6_0,
135/食字第07册.pdf,6,Im5,179.75,反转,270828.88,135_7_6_5,
135/食字第07册.pdf,6,Im6,180.00,反转,266890.94,135_7_6_6,
135/食字第07册.pdf,6,Im7,180.00,反转,265566.78,135_7_6_7,
135/食字第07册.pdf,6,Im8,180.00,反转,268953.04,135_7_6_8,
135/食字第07册.pdf,6,Im9,180.00,反转,265554.15,135_7_6_9,
135/食字第07册.pdf,7,Im0,0.00,正,262643.99,135_7_7_4,
135/食字第07册.pdf,7,Im1,0.00,正,264103.87,135_7_7_3,
135/食字第07册.pdf,7,Im2,0.00,正,265127.74,135_7_7_2,
135/食字第07册.pdf,7,Im3,0.00,正,263812.29,135_7_7_1,
135/食字第07册.pdf,7,Im4,0.00,正,262495.60,135_7_7_0,
135/食字第07册.pdf,7,Im5,180.00,反转,261768.90,135_7_7_5,
135/食字第07册.pdf,7,Im6,180.00,反转,264572.81,135_7_7_6,
135/食字第07册.pdf,7,Im7,180.00,反转,263402.82,135_7_7_7,
135/食字第07册.pdf,7,Im8,180.00,反转,263038.88,135_7_7_8,
135/食字第07册.pdf,7,Im9,180.00,反转,266567.59,135_7_7_9,
135/食字第07册.pdf,8,Im0,0.00,正,263636.20,135_7_8_4,
135/食字第07册.pdf,8,Im1,0.00,正,264807.22,135_7_8_3,
135/食字第07册.pdf,8,Im2,0.00,正,263223.17,135_7_8_2,
135/食字第07册.pdf,8,Im3,0.00,正,264689.59,135_7_8_1,
135/食字第07册.pdf,8,Im4,0.00,正,266674.51,135_7_8_0,
135/食字第07册.pdf,8,Im5,180.00,反转,266970.31,135_7_8_5,
135/食字第07册.pdf,8,Im6,-179.75,反转,276160.38,135_7_8_6,
135/食字第07册.pdf,8,Im7,-179.75,反转,270350.35,135_7_8_7,
135/食字第07册.pdf,8,Im8,180.00,反转,266265.67,135_7_8_8,
135/食字第07册.pdf,8,Im9,180.00,反转,265379.53,135_7_8_9,
135/食字第10册.pdf,0,Im0,0.00,正,3290305.43,135_10_0_0,异常
135/食字第10册.pdf,1,Im0,0.00,正,264630.48,135_10_1_4,
135/食字第10册.pdf,1,Im1,0.00,正,263753.78,135_10_1_3,
135/食字第10册.pdf,1,Im2,0.00,正,267565.36,135_10_1_2,
135/食字第10册.pdf,1,Im3,0.00,正,264336.40,135_10_1_1,
135/食字第10册.pdf,1,Im4,0.00,正,266271.07,135_10_1_0,
135/食字第10册.pdf,1,Im5,180.00,反转,264221.67,135_10_1_5,
135/食字第10册.pdf,1,Im6,180.00,反转,265529.54,135_10_1_6,
135/食字第10册.pdf,1,Im7,180.00,反转,262469.12,135_10_1_7,
135/食字第10册.pdf,1,Im8,180.00,反转,263926.44,135_10_1_8,
135/食字第10册.pdf,1,Im9,180.00,反转,263052.06,135_10_1_9,
135/食字第10册.pdf,2,Im0,0.00,正,264274.26,135_10_2_4,
135/食字第10册.pdf,2,Im1,0.00,正,263400.56,135_10_2_3,
135/食字第10册.pdf,2,Im2,0.00,正,263695.26,135_10_2_2,
135/食字第10册.pdf,2,Im3,0.00,正,262817.70,135_10_2_1,
135/食字第10册.pdf,2,Im4,0.00,正,263577.72,135_10_2_0,
135/食字第10册.pdf,2,Im5,180.00,反转,262702.54,135_10_2_5,
135/食字第10册.pdf,2,Im6,180.00,反转,265441.75,135_10_2_6,
135/食字第10册.pdf,2,Im7,180.00,反转,266917.23,135_10_2_7,
135/食字第10册.pdf,2,Im8,180.00,反转,268923.90,135_10_2_8,
135/食字第10册.pdf,2,Im9,180.00,反转,264498.36,135_10_2_9,
135/食字第10册.pdf,3,Im0,0.00,正,264162.62,135_10_3_4,
135/食字第10册.pdf,3,Im1,0.00,正,263283.48,135_10_3_3,
135/食字第10册.pdf,3,Im2,0.00,正,267567.31,135_10_3_2,
135/食字第10册.pdf,3,Im3,0.00,正,265503.41,135_10_3_1,
135/食字第10册.pdf,3,Im4,-0.25,正,269223.38,135_10_3_0,
135/食字第10册.pdf,3,Im5,179.75,反转,269036.95,135_10_3_5,
135/食字第10册.pdf,3,Im6,180.00,反转,264046.05,135_10_3_6,
135/食字第10册.pdf,3,Im7,180.00,反转,263169.34,135_10_3_7,
135/食字第10册.pdf,3,Im8,-179.75,反转,272192.13,135_10_3_8,
135/食字第10册.pdf,3,Im9,-179.75,反转,270467.51,135_10_3_9,
135/食字第10册.pdf,4,Im0,0.00,正,267944.53,135_10_4_4,
135/食字第10册.pdf,4,Im1,0.00,正,266612.21,135_10_4_3,
135/食字第10册.pdf,4,Im2,0.00,正,265596.08,135_10_4_2,
135/食字第10册.pdf,4,Im3,0.00,正,267078.99,135_10_4_1,
135/食字第10册.pdf,4,Im4,0.00,正,266650.11,135_10_4_0,
135/食字第10册.pdf,4,Im5,180.00,反转,266502.49,135_10_4_5,
135/食字第10册.pdf,4,Im6,180.00,反转,266068.14,135_10_4_6,
135/食字第10册.pdf,4,Im7,180.00,反转,265334.74,135_10_4_7,
135/食字第10册.pdf,4,Im8,180.00,反转,266181.99,135_10_4_8,
135/食字第10册.pdf,4,Im9,180.00,反转,268687.63,135_10_4_9,
135/食字第10册.pdf,5,Im0,0.00,正,268451.34,135_10_5_4,
135/食字第10册.pdf,5,Im1,0.00,正,264033.58,135_10_5_3,
135/食字第10册.pdf,5,Im2,0.25,正,273232.21,135_10_5_2,
135/食字第10册.pdf,5,Im3,0.25,正,271140.13,135_10_5_1,
135/食字第10册.pdf,5,Im4,0.00,正,264805.10,135_10_5_0,
135/食字第10册.pdf,5,Im5,180.00,反转,262895.80,135_10_5_5,
135/食字第10册.pdf,5,Im6,-179.75,反转,272532.72,135_10_5_6,
135/食字第10册.pdf,5,Im7,-179.75,反转,269841.23,135_10_5_7,
135/食字第10册.pdf,5,Im8,180.00,反转,267240.77,135_10_5_8,
135/食字第10册.pdf,5,Im9,180.00,反转,264287.85,135_10_5_9,
135/食字第10册.pdf,6,Im0,0.00,正,267038.03,135_10_6_4,
135/食字第10册.pdf,6,Im1,0.00,正,263801.23,135_10_6_3,
135/食字第10册.pdf,6,Im2,0.00,正,259369.99,135_10_6_2,
135/食字第10册.pdf,6,Im3,0.00,正,263169.28,135_10_6_1,
135/食字第10册.pdf,6,Im4,0.00,正,261594.67,135_10_6_0,
135/食字第10册.pdf,6,Im5,180.00,反转,264217.94,135_10_6_5,
135/食字第10册.pdf,6,Im6,-179.50,反转,276050.34,135_10_6_6,
135/食字第10册.pdf,6,Im7,-179.50,反转,274380.61,135_10_6_7,
135/食字第10册.pdf,6,Im8,180.00,反转,261854.09,135_10_6_8,
135/食字第10册.pdf,6,Im9,180.00,反转,265507.29,135_10_6_9,
135/食字第10册.pdf,7,Im0,0.00,正,264396.32,135_10_7_4,
135/食字第10册.pdf,7,Im1,0.00,正,263516.40,135_10_7_3,
135/食字第10册.pdf,7,Im2,0.00,正,265330.90,135_10_7_2,
135/食字第10册.pdf,7,Im3,0.00,正,264447.95,135_10_7_1,
135/食字第10册.pdf,7,Im4,0.00,正,267361.14,135_10_7_0,
135/食字第10册.pdf,7,Im5,180.00,反转,262055.18,135_10_7_5,
135/食字第10册.pdf,7,Im6,-179.75,反转,271577.89,135_10_7_6,
135/食字第10册.pdf,7,Im7,-179.75,反转,267639.80,135_10_7_7,
135/食字第10册.pdf,7,Im8,180.00,反转,265188.01,135_10_7_8,
135/食字第10册.pdf,7,Im9,180.00,反转,267388.17,135_10_7_9,
135/食字第10册.pdf,8,Im0,0.25,正,268702.92,135_10_8_0,
135/食字第10册.pdf,8,Im1,0.25,正,262661.94,135_10_8_1,
135/食字第06册.pdf,0,Im0,0.00,正,3290304.98,135_6_0_0,异常
135/食字第06册.pdf,1,Im0,0.00,正,268215.11,135_6_1_4,
135/食字第06册.pdf,1,Im1,0.00,正,266155.29,135_6_1_3,
135/食字第06册.pdf,1,Im2,0.75,正,283021.42,135_6_1_2,
135/食字第06册.pdf,1,Im3,0.75,正,278459.30,135_6_1_1,
135/食字第06册.pdf,1,Im4,0.00,正,267092.85,135_6_1_0,
135/食字第06册.pdf,1,Im5,180.00,反转,263869.58,135_6_1_5,
135/食字第06册.pdf,1,Im6,180.00,反转,268923.88,135_6_1_6,
135/食字第06册.pdf,1,Im7,180.00,反转,262875.67,135_6_1_7,
135/食字第06册.pdf,1,Im8,180.00,反转,267329.12,135_6_1_8,
135/食字第06册.pdf,1,Im9,180.00,反转,264103.02,135_6_1_9,
135/食字第06册.pdf,2,Im0,0.00,正,269632.63,135_6_2_4,
135/食字第06册.pdf,2,Im1,0.50,正,273783.16,135_6_2_3,
135/食字第06册.pdf,2,Im2,0.00,正,269160.20,135_6_2_2,
135/食字第06册.pdf,2,Im3,0.00,正,268274.26,135_6_2_1,
135/食字第06册.pdf,2,Im4,0.00,正,268451.34,135_6_2_0,
135/食字第06册.pdf,2,Im5,180.00,反转,267567.80,135_6_2_5,
135/食字第06册.pdf,2,Im6,180.00,反转,269396.40,135_6_2_6,
135/食字第06册.pdf,2,Im7,180.00,反转,267327.52,135_6_2_7,
135/食字第06册.pdf,2,Im8,180.00,反转,269632.65,135_6_2_8,
135/食字第06册.pdf,2,Im9,180.00,反转,262976.88,135_6_2_9,
135/食字第06册.pdf,3,Im0,0.00,正,267331.19,135_6_3_4,
135/食字第06册.pdf,3,Im1,0.00,正,264971.95,135_6_3_3,
135/食字第06册.pdf,3,Im2,0.00,正,265800.65,135_6_3_2,
135/食字第06册.pdf,3,Im3,0.00,正,265800.70,135_6_3_1,
135/食字第06册.pdf,3,Im4,0.25,正,272203.63,135_6_3_0,
135/食字第06册.pdf,3,Im5,-179.75,反转,269836.18,135_6_3_5,
135/食字第06册.pdf,3,Im6,180.00,反转,269809.84,135_6_3_6,
135/食字第06册.pdf,3,Im7,180.00,反转,267145.79,135_6_3_7,
135/食字第06册.pdf,3,Im8,180.00,反转,266979.12,135_6_3_8,
135/食字第06册.pdf,3,Im9,180.00,反转,265803.60,135_6_3_9,
135/食字第06册.pdf,4,Im0,0.00,正,268687.63,135_6_4_4,
135/食字第06册.pdf,4,Im1,0.00,正,266624.19,135_6_4_3,
135/食字第06册.pdf,4,Im2,-0.50,正,279170.33,135_6_4_2,
135/食字第06册.pdf,4,Im3,-0.50,正,279046.03,135_6_4_1,
135/食字第06册.pdf,4,Im4,0.00,正,268215.11,135_6_4_0,
135/食字第06册.pdf,4,Im5,180.00,反转,266743.85,135_6_4_5,
135/食字第06册.pdf,4,Im6,180.00,反转,267565.32,135_6_4_6,
135/食字第06册.pdf,4,Im7,180.00,反转,265510.49,135_6_4_7,
135/食字第06册.pdf,4,Im8,180.00,反转,267801.63,135_6_4_8,
135/食字第06册.pdf,4,Im9,180.00,反转,266332.57,135_6_4_9,
135/食字第06册.pdf,5,Im0,0.00,正,267801.63,135_6_5_4,
135/食字第06册.pdf,5,Im1,0.00,正,266332.57,135_6_5_3,
135/食字第06册.pdf,5,Im2,0.00,正,266034.66,135_6_5_2,
135/食字第06册.pdf,5,Im3,0.00,正,263823.84,135_6_5_1,
135/食字第06册.pdf,5,Im4,0.00,正,269278.28,135_6_5_0,
135/食字第06册.pdf,5,Im5,-179.25,反转,276218.16,135_6_5_5,
135/食字第06册.pdf,5,Im6,180.00,反转,265678.53,135_6_5_6,
135/食字第06册.pdf,5,Im7,180.00,反转,264498.36,135_6_5_7,
135/食字第06册.pdf,5,Im8,180.00,反转,270253.37,135_6_5_8,
135/食字第06册.pdf,5,Im9,180.00,反转,270253.37,135_6_5_9,
135/食字第06册.pdf,6,Im0,0.00,正,265195.43,135_6_6_4,
135/食字第06册.pdf,6,Im1,0.00,正,268745.23,135_6_6_3,
135/食字第06册.pdf,6,Im2,0.00,正,268805.75,135_6_6_2,
135/食字第06册.pdf,6,Im3,0.00,正,267921.08,135_6_6_1,
135/食字第06册.pdf,6,Im4,0.00,正,269336.83,135_6_6_0,
135/食字第06册.pdf,6,Im5,-179.75,反转,268150.72,135_6_6_5,
135/食字第06册.pdf,6,Im6,180.00,反转,270105.16,135_6_6_6,
135/食字第06册.pdf,6,Im7,-179.50,反转,273078.27,135_6_6_7,
135/食字第06册.pdf,6,Im8,-179.25,反转,286081.66,135_6_6_8,
135/食字第06册.pdf,6,Im9,-179.25,反转,279393.53,135_6_6_9,
135/食字第06册.pdf,7,Im0,0.00,正,263869.60,135_6_7_4,
135/食字第06册.pdf,7,Im1,0.00,正,267092.85,135_6_7_3,
135/食字第06册.pdf,7,Im2,0.00,正,264455.58,135_6_7_2,
135/食字第06册.pdf,7,Im3,0.00,正,265627.71,135_6_7_1,
135/食字第06册.pdf,7,Im4,0.00,正,264689.56,135_6_7_0,
135/食字第06册.pdf,7,Im5,180.00,反转,264689.54,135_6_7_5,
135/食字第06册.pdf,7,Im6,180.00,反转,268746.67,135_6_7_6,
135/食字第06册.pdf,7,Im7,180.00,反转,267862.19,135_6_7_7,
135/食字第06册.pdf,7,Im8,180.00,反转,265566.82,135_6_7_8,
135/食字第06册.pdf,7,Im9,180.00,反转,265566.82,135_6_7_9,
135/食字第06册.pdf,8,Im0,-0.25,正,270907.79,135_6_8_4,
135/食字第06册.pdf,8,Im1,-0.25,正,272093.55,135_6_8_3,
135/食字第06册.pdf,8,Im2,0.00,正,269160.15,135_6_8_2,
135/食字第06册.pdf,8,Im3,0.00,正,267093.11,135_6_8_1,
135/食字第06册.pdf,8,Im4,0.00,正,261798.91,135_6_8_0,
135/食字第06册.pdf,8,Im5,180.00,反转,262235.76,135_6_8_5,
135/食字第06册.pdf,8,Im6,179.50,反转,284247.61,135_6_8_6,
135/食字第06册.pdf,8,Im7,179.50,反转,284310.58,135_6_8_7,
135/食字第06册.pdf,8,Im8,-179.00,反转+微倾,281304.92,135_6_8_8,
135/食字第01册.pdf,0,Im0,0.00,正,3290304.98,135_1_0_0,异常
135/食字第01册.pdf,1,Im0,0.00,正,266561.27,135_1_1_4,
135/食字第01册.pdf,1,Im1,0.00,正,265099.12,135_1_1_3,
135/食字第01册.pdf,1,Im2,0.00,正,266325.03,135_1_1_2,
135/食字第01册.pdf,1,Im3,0.00,正,262526.58,135_1_1_1,
135/食字第01册.pdf,1,Im4,0.00,正,267978.84,135_1_1_0,
135/食字第01册.pdf,1,Im5,180.00,反转,267096.85,135_1_1_5,
135/食字第01册.pdf,1,Im6,180.00,反转,268687.61,135_1_1_6,
135/食字第01册.pdf,1,Im7,180.00,反转,267213.74,135_1_1_7,
135/食字第01册.pdf,1,Im8,180.00,反转,266468.16,135_1_1_8,
135/食字第01册.pdf,1,Im9,180.00,反转,269721.45,135_1_1_9,
135/食字第01册.pdf,2,Im0,0.00,正,268097.86,135_1_2_4,
135/食字第01册.pdf,2,Im1,0.00,正,266920.10,135_1_2_3,
135/食字第01册.pdf,2,Im2,0.00,正,269160.15,135_1_2_2,
135/食字第01册.pdf,2,Im3,0.00,正,267093.13,135_1_2_1,
135/食字第01册.pdf,2,Im4,0.00,正,269337.34,135_1_2_0,
135/食字第01册.pdf,2,Im5,180.00,反转,267268.93,135_1_2_5,
135/食字第01册.pdf,2,Im6,180.00,反转,269042.03,135_1_2_6,
135/食字第01册.pdf,2,Im7,180.00,反转,268156.57,135_1_2_7,
135/食字第01册.pdf,2,Im8,180.00,反转,269632.61,135_1_2_8,
135/食字第01册.pdf,2,Im9,180.00,反转,266970.31,135_1_2_9,
135/食字第01册.pdf,3,Im0,0.00,正,269160.15,135_1_3_4,
135/食字第01册.pdf,3,Im1,0.00,正,265911.95,135_1_3_3,
135/食字第01册.pdf,3,Im2,0.00,正,267567.78,135_1_3_2,
135/食字第01册.pdf,3,Im3,0.00,正,267567.78,135_1_3_1,
135/食字第01册.pdf,3,Im4,0.00,正,264671.18,135_1_3_0,
135/食字第01册.pdf,3,Im5,180.00,反转,263800.08,135_1_3_5,
135/食字第01册.pdf,3,Im6,-179.75,反转,271320.59,135_1_3_6,
135/食字第01册.pdf,3,Im7,-179.75,反转,268299.94,135_1_3_7,
135/食字第01册.pdf,3,Im8,180.00,反转,267506.29,135_1_3_8,
135/食字第01册.pdf,3,Im9,180.00,反转,266625.89,135_1_3_9,
135/食字第01册.pdf,4,Im0,0.00,正,268628.57,135_1_4_4,
135/食字第01册.pdf,4,Im1,0.00,正,267744.47,135_1_4_3,
135/食字第01册.pdf,4,Im2,0.00,正,267093.13,135_1_4_2,
135/食字第01册.pdf,4,Im3,0.00,正,268274.26,135_1_4_1,
135/食字第01册.pdf,4,Im4,0.00,正,265324.87,135_1_4_0,
135/食字第01册.pdf,4,Im5,180.00,反转,264159.25,135_1_4_5,
135/食字第01册.pdf,4,Im6,180.00,反转,267624.54,135_1_4_6,
135/食字第01册.pdf,4,Im7,180.00,反转,266743.75,135_1_4_7,
135/食字第01册.pdf,4,Im8,180.00,反转,268569.50,135_1_4_8,
135/食字第01册.pdf,4,Im9,180.00,反转,267685.60,135_1_4_9,
135/食字第01册.pdf,5,Im0,0.00,正,264907.43,135_1_5_4,
135/食字第01册.pdf,5,Im1,0.00,正,264035.58,135_1_5_3,
135/食字第01册.pdf,5,Im2,-0.25,正,273333.20,135_1_5_2,
135/食字第01册.pdf,5,Im3,-0.25,正,270497.31,135_1_5_1,
135/食字第01册.pdf,5,Im4,0.00,正,268215.11,135_1_5_0,
135/食字第01册.pdf,5,Im5,180.00,反转,266155.34,135_1_5_5,
135/食字第01册.pdf,5,Im6,180.00,反转,267211.02,135_1_5_6,
135/食字第01册.pdf,5,Im7,180.00,反转,265158.90,135_1_5_7,
135/食字第01册.pdf,5,Im8,180.00,反转,268392.30,135_1_5_8,
135/食字第01册.pdf,5,Im9,180.00,反转,265742.26,135_1_5_9,
135/食字第01册.pdf,6,Im0,0.00,正,268037.92,135_1_6_4,
135/食字第01册.pdf,6,Im1,0.00,正,265391.36,135_1_6_3,
135/食字第01册.pdf,6,Im2,-0.25,正,272432.57,135_1_6_2,
135/食字第01册.pdf,6,Im3,-0.25,正,274100.75,135_1_6_1,
135/食字第01册.pdf,6,Im4,-0.25,正,272920.68,135_1_6_0,
135/食字第01册.pdf,6,Im5,179.75,反转,271404.48,135_1_6_5,
135/食字第01册.pdf,6,Im6,180.00,反转,266738.48,135_1_6_6,
135/食字第01册.pdf,6,Im7,180.00,反转,263519.48,135_1_6_7,
135/食字第01册.pdf,6,Im8,180.00,反转,266738.46,135_1_6_8,
135/食字第01册.pdf,6,Im9,180.00,反转,265275.23,135_1_6_9,
135/食字第01册.pdf,7,Im0,0.00,正,265793.39,135_1_7_4,
135/食字第01册.pdf,7,Im1,0.00,正,265501.80,135_1_7_3,
135/食字第01册.pdf,7,Im2,0.00,正,265451.97,135_1_7_2,
135/食字第01册.pdf,7,Im3,0.00,正,266625.84,135_1_7_1,
135/食字第01册.pdf,7,Im4,0.25,正,273760.09,135_1_7_0,
135/食字第01册.pdf,7,Im5,-179.75,反转,270708.46,135_1_7_5,
135/食字第01册.pdf,7,Im6,180.00,反转,268392.30,135_1_7_6,
135/食字第01册.pdf,7,Im7,180.00,反转,266331.12,135_1_7_7,
135/食字第01册.pdf,7,Im8,180.00,反转,269513.87,135_1_7_8,
135/食字第01册.pdf,7,Im9,180.00,反转,266553.82,135_1_7_9,
135/食字第01册.pdf,8,Im0,0.50,正,276153.24,135_1_8_4,
135/食字第01册.pdf,8,Im1,0.50,正,273436.71,135_1_8_3,
135/食字第01册.pdf,8,Im2,0.50,正,277996.47,135_1_8_2,
135/食字第01册.pdf,8,Im3,0.50,正,273995.55,135_1_8_1,
135/食字第01册.pdf,8,Im4,0.00,正,267033.79,135_1_8_0,
135/食字第01册.pdf,8,Im5,180.00,反转,265569.02,135_1_8_5,
135/食字第01册.pdf,8,Im6,180.00,反转,266325.00,135_1_8_6,
135/食字第01册.pdf,8,Im7,180.00,反转,263695.36,135_1_8_7,
135/食字第01册.pdf,8,Im8,180.00,反转,266797.50,135_1_8_8,
135/食字第01册.pdf,8,Im9,180.00,反转,263577.81,135_1_8_9,
135/食字第01册.pdf,9,Im0,0.50,正,274079.56,135_1_9_4,
135/食字第01册.pdf,9,Im1,0.50,正,271541.59,135_1_9_3,
135/食字第01册.pdf,9,Im2,0.00,正,267389.96,135_1_9_2,
135/食字第01册.pdf,9,Im3,0.00,正,267389.93,135_1_9_1,
135/食字第01册.pdf,9,Im4,0.00,正,259958.38,135_1_9_0,
135/食字第01册.pdf,9,Im5,180.00,反转,262293.73,135_1_9_5,
135/食字第01册.pdf,9,Im6,180.00,反转,267270.08,135_1_9_6,
135/食字第01册.pdf,9,Im7,180.00,反转,265803.99,135_1_9_7,
135/食字第01册.pdf,9,Im8,180.00,反转,266655.64,135_1_9_8,
135/食字第01册.pdf,9,Im9,180.00,反转,266802.52,135_1_9_9,
135/食字第01册.pdf,10,Im0,-0.25,正,277359.19,135_1_10_4,
135/食字第01册.pdf,10,Im1,-0.25,正,272762.70,135_1_10_3,
135/食字第01册.pdf,10,Im2,-0.50,正,277543.29,135_1_10_2,
135/食字第01册.pdf,10,Im3,-0.50,正,277804.07,135_1_10_1,
135/食字第01册.pdf,10,Im4,-1.00,微倾,280175.50,135_1_10_0,
135/食字第01册.pdf,10,Im5,179.00,反转+微倾,283105.01,135_1_10_5,
135/食字第01册.pdf,10,Im6,180.00,反转,267882.67,135_1_10_6,
135/食字第01册.pdf,10,Im7,180.00,反转,259881.72,135_1_10_7,
135/食字第03册.pdf,0,Im0,0.00,正,3291175.85,135_3_0_0,异常
135/食字第03册.pdf,1,Im0,0.00,正,266772.83,135_3_1_4,
135/食字第03册.pdf,1,Im1,0.00,正,265742.24,135_3_1_3,
135/食字第03册.pdf,1,Im2,-0.25,正,269250.37,135_3_1_2,
135/食字第03册.pdf,1,Im3,-0.25,正,268976.89,135_3_1_1,
135/食字第03册.pdf,1,Im4,0.00,正,266538.00,135_3_1_0,
135/食字第03册.pdf,1,Im5,180.00,反转,265508.28,135_3_1_5,
135/食字第03册.pdf,1,Im6,180.00,反转,268274.17,135_3_1_6,
135/食字第03册.pdf,1,Im7,180.00,反转,266213.90,135_3_1_7,
135/食字第03册.pdf,1,Im8,180.00,反转,265010.54,135_3_1_8,
135/食字第03册.pdf,1,Im9,180.00,反转,267507.82,135_3_1_9,
135/食字第03册.pdf,2,Im0,-0.25,正,271619.93,135_3_2_4,
135/食字第03册.pdf,2,Im1,-0.25,正,272251.17,135_3_2_3,
135/食字第03册.pdf,2,Im2,0.00,正,267565.34,135_3_2_2,
135/食字第03册.pdf,2,Im3,0.00,正,267565.34,135_3_2_1,
135/食字第03册.pdf,2,Im4,0.00,正,264539.56,135_3_2_0,
135/食字第03册.pdf,2,Im5,180.00,反转,267919.81,135_3_2_5,
135/食字第03册.pdf,2,Im6,180.00,反转,267244.04,135_3_2_6,
135/食字第03册.pdf,2,Im7,180.00,反转,266213.88,135_3_2_7,
135/食字第03册.pdf,2,Im8,180.00,反转,265239.38,135_3_2_8,
135/食字第03册.pdf,2,Im9,180.00,反转,267744.47,135_3_2_9,
135/食字第03册.pdf,3,Im0,0.00,正,264364.50,135_3_3_4,
135/食字第03册.pdf,3,Im1,0.00,正,265686.32,135_3_3_3,
135/食字第03册.pdf,3,Im2,0.00,正,264660.84,135_3_3_2,
135/食字第03册.pdf,3,Im3,0.00,正,263636.18,135_3_3_1,
135/食字第03册.pdf,3,Im4,0.00,正,264131.30,135_3_3_0,
135/食字第03册.pdf,3,Im5,180.00,反转,266625.89,135_3_3_5,
135/食字第03册.pdf,3,Im6,180.00,反转,266303.18,135_3_3_6,
